id,groupId,title,content,tags,author,createdAt,updatedAt
1,1,我支持核能發電,核能發電是乾淨的能源取得方式,idea,1,2023-12-12 14:20:04.173+00,2023-12-12 14:20:04.173+00
2,1,我要反對,因為核能發電會產生核廢料,reply,1,2023-12-12 14:55:55.013+00,2023-12-12 14:55:55.013+00
3,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:05:55.135+00,2023-12-12 15:05:55.135+00
4,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.301+00,2023-12-12 15:06:20.301+00
5,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.321+00,2023-12-12 15:06:20.321+00
6,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.31+00,2023-12-12 15:06:20.31+00
7,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.333+00,2023-12-12 15:06:20.333+00
8,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.343+00,2023-12-12 15:06:20.343+00
9,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.349+00,2023-12-12 15:06:20.349+00
10,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.362+00,2023-12-12 15:06:20.362+00
11,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.372+00,2023-12-12 15:06:20.372+00
12,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.378+00,2023-12-12 15:06:20.378+00
13,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.388+00,2023-12-12 15:06:20.388+00
14,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.4+00,2023-12-12 15:06:20.4+00
15,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.428+00,2023-12-12 15:06:20.428+00
16,1,核能是什麼？,原子是構成世間萬物的結構，其核心由質子與中子組成，核外有電子包圍，在原子核中，有一股很強大的能量把中子和質子聚合在一起，所謂的核能，就是指原子核結構因為「核分裂（Nuclear fission）」或「核融合（Nuclear fusion）」發生變化時，所釋放出來的能量。所以，核能亦稱為「原子能」。,資訊,1,2023-12-12 15:06:20.434+00,2023-12-12 15:06:20.434+00
